Checkpoint,Geothermal vent,Species,Ocean Current,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A1,Geothermal vent danger level (1-10): 5,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A2,Geothermal vent danger level (1-10): 1,29,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A3,Geothermal vent danger level (1-10): 2,91,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A4,Geothermal vent danger level (1-10): 5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A5,Geothermal vent danger level (1-10): 1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A6,Geothermal vent danger level (1-10): 4,83,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A7,Geothermal vent danger level (1-10): 1,0,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A8,Geothermal vent danger level (1-10): 0,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A9,Geothermal vent danger level (1-10): 1,51,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A10,Geothermal vent danger level (1-10): 9,57,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A11,Geothermal vent danger level (1-10): 2,70,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A12,Geothermal vent danger level (1-10): 3,44,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A13,Geothermal vent danger level (1-10): 8,88,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A14,Geothermal vent danger level (1-10): 0,0,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A15,Geothermal vent danger level (1-10): 0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
